,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
644,You're not bad.,But the odds are against us.,You've been talking to Tyrion.,,"Man: All right, come on.",I'm not doing nothing again.,( grunts )
645,I don't hate you.,None of you have seen the Army of the Dead. None of you.,He is my Hand.,,( grunts ),( roaring ),( shouts )
646,"Don't like you, but you're not bad.",We can never hope to defeat them alone.,- He enjoys talking. - We all enjoy what we're good at.,,"Tyrion: You may not believe it,",( grunts ),( grunting )
647,"Thank you, Clegane.","We need allies, powerful allies.",I don't.,,"but I've missed you, Mormont.",Dumb cunt.,( pants )
648,That warms the heart.,I know it's a risk.,You know I'm not going to let Cersei stay on the Iron Throne.,,Nobody glowers quite like you.,( grunts ),Not for me.
649,But there's nothing special about you.,But I have to take it.,I never expected that you would.,,Not even Grey Worm.,"Oh, fuck.",For Yara!
65,now that winter has come.,You turned against him.,"To be honest, I was drunk for most of it.",whatever nameless shit heap you're from,is the wheel that has rolled over rich and poor,We're fighting a great war. Wars cost money.,They're on their way to the Dragonpit now.
650,You're right about that.,Then send an emissary. Don't go yourself.,And I haven't changed my mind,,This is the coin the slaver gave me,Fuck it.,Men: Yara!
651,So why does the Lord of Light keep bringing you back?,Daenerys is a queen.,about which kingdoms belong to that throne.,,"when I suggested he free us and pay us, remember?",( shouts ),Have my sister brought to the Great Hall.
652,"I've met better men than you,",Only a king can convince her to help us.,I haven't either.,,It was supposed to last us the rest of our lives.,( all grunting ),Are you sure you want to do this?
653,"and they've been hanged from crossbeams, or beheaded,",It has to be me.,( sighs ),,Take it with you.,( snarls ),It's not what I want. It's what honor demands.
654,or just shat themselves to death in a field somewhere.,You're abandoning your people!,I will allow you to mine the dragonglass and forge weapons from it.,,But bring it back.,( wights snarling ),And what does honor demand?
655,None of them came back.,You're abandoning your home.,"Any resources or men you need, I will provide for you.",,Our queen needs you.,( snarling ),That I defend my family from those who would harm us.
656,"So, why you?",I'm leaving both in good hands.,Thank you.,,We should be better at saying farewell by now.,( growls ),That I defend the North from those who would betray us.
657,You think I don't ask myself that?,- Whose? - Yours.,"So you believe me, then, about the Night King and the Army of the Dead?",,"Your Grace, I...",( screeching ),"All right, then."
658,Every hour of every day?,You are my sister.,"You'd better get to work, Jon Snow.",,"If I don't return, at least you won't have to deal",( screaming ),Get on with it.
659,Why am I here?,You're the only Stark in Winterfell.,( chatter ),,with the King in the North anymore.,Yah!,You stand accused of murder.
66,"But first, a toast!","Robert was an improvement on your father, to be sure.",My bannermen think I'm a fool for coming here.,"with a saddlebag full of gold,",to the benefit of no one but the Cersei Lannisters of the world.,I wanted to be one of you.,Including our brother?
660,What am I supposed to do?,"Until I return, the North is yours.",How much do we have?,,I've grown used to him.,Yah!,You stand accused of treason.
661,What does the Lord see in me?,Littlefinger: I delivered his bones myself.,"4,000 bushels, my lady.",,"I wish you good fortune in the wars to come, Your Grace.",( screaming ),How do you answer these charges...
662,And?,Presented them to Lady Catelyn,What does that mean?,,Heave!,Fall back!,Lord Baelish?
663,I don't know.,as a gesture of goodwill from Tyrion Lannister.,"For the current occupants of the castle,",,( fire crackling ),- Fall back! - Tormund: Come on!,My sister asked you a question.
664,I don't understand our Lord.,Seems like a lifetime ago.,"it's enough food for a year, perhaps more.",,Gilly: Do you know how many steps there are in the Citadel?,( grunts ),"Lady Sansa, forgive me..."
665,Your Lord.,Do give Lord Tyrion my best when you see him.,And what's the longest winter in the past hundred years?,,No.,( Tormund screaming ),I'm a bit confused.
666,I don't know what He wants from me.,I was sorry when he died.,"Uh, I'm not entirely certain.",,"15,782.",Help me!,Which charges confuse you?
667,I only know that He wants me alive.,"Your father and I had our differences, but he loved Cat very much.",I-I'll check Maester Luwin's records.,,Guess how many windows are in the Great Sept of Baelor.,( snarling ),Let's start with the simplest one--
668,"If he's so all-powerful, why doesn't he just tell you what the fuck he wants?",So did I.,He kept a copy of every raven scroll.,,None anymore.,( screaming ),"you murdered our aunt, Lysa Arryn."
669,Thoros: Clegane.,"She wasn't fond of you, was she?","You're telling me we don't have enough food,",,That's true.,( shouting ),You pushed her through the Moon Door and watched her fall.
67,No more of that Dornish horse piss!,There have been few rulers in history,Of course they do.,complaining about not getting paid.,I offer you a choice--,"I wanted to join the Brotherhood, but you sold me off","Yes, Your Grace."
670,Come over here.,"Well, it appears she vastly underestimated you.",especially not if the armies of the North come back to defend Winterfell?,,"This High Septon Maynard, he recorded everything.",( screaming ),Do you deny it?
671,Don't worry. The fire won't bite.,"Your father and brothers are gone,","No, my lady, most likely not.",,He even recorded his own bowel movements.,( grunts ),I did it to protect you.
672,I want to show you something.,"yet here you stand, King in the North.",Then we must prepare for that eventuality.,,"What does ""annulment"" mean?",( Drogon screeches ),You did it to take power in the Vale.
673,It's my fucking luck I end up with a band of fire worshippers.,Last best hope against the coming storm.,"Whatever direction the threat comes from,",,It's when a man sets aside his lawful wife.,( roaring ),"Earlier, you conspired to murder Jon Arryn."
674,Aye.,You don't belong down here.,this is the best place to be.,,"Maynard says here that he issued an annulment for a Prince ""Ragger""",( grunts ),You gave Lysa Tears of Lys to poison him.
675,Almost seems like divine justice.,Forgive me.,We need to start building up our grain stores,,and remarried him to someone else at the same time,( wight screeches ),Do you deny it?
676,"There's no divine justice, you dumb cunt.",We haven't ever talked... properly.,with regular shipments from every keep in the North.,,in a secret ceremony in Dorne.,Go!,Whatever your aunt might have told you...
677,"If there was, you'd be dead...",I wanted to remedy that.,"If we don't use it by winter's end, we'll give it back to them.",,Is that a common thing in the south or--?,Jon!,she was a troubled woman.
678,and that girl would be alive.,I have nothing to say to you.,"But if the entire North has to flee to Winterfell,",,These maesters...,( shouts ),She imagined enemies everywhere.
679,- What do you want? - Look into the flames.,"Not even ""thank you""?",they won't have enough time to bring wagonloads of grain with them.,,they set me to the task of preserving that man's window counting,( wight snarling ),You had Aunt Lysa send a letter to our parents
68,This is the finest Arbor gold!,as cruel as the Mad King.,"If I was your Hand, I would have advised against it.","When we win this war,",bend the knee and join me.,like a slave.,"If anything goes wrong,"
680,I don't want to look in the damn flames.,"If it weren't for me, you'd have been slaughtered on that battlefield.","Very wise, my lady.",,"and annulments and bowel movements for all eternity,",( screaming ),telling them it was the Lannisters who murdered Jon Arryn
681,You saw me bring him back from the dead after you cut him down.,"You have many enemies, my king, but I swear to you, I'm not one of them.","Maester Wolkan, you'll see to it?",,while the secret to defeating the Night King's,( roaring ),"when, really, it was you."
682,Don't you want to know what gave me the power?,"I love Sansa,",Are they covering those breastplates in leather?,,"probably sitting on some dusty shelf somewhere, completely ignored.",( Viserion screaming ),"The conflict between the Starks and the Lannisters,"
683,I keep asking and no one wants to tell me.,as I loved her mother.,"No, my lady.",,"But that's all right, isn't it?",( screaming ),it was you who started it.
684,We can't tell you.,( grunts ),"Well, shouldn't they be? Once the real cold comes?",,"We can all become slavering, murderous imbeciles in thrall to evil incarnate",( roaring ),Do you deny it?
685,Only the fire can tell you.,( choking ),"They should, indeed.",,as long as we can have access to the full records,- ( wights snarling ) - ( grunting ),I know of no such letter.
686,What do you see?,"Touch my sister, and I'll kill you myself.","Pardon me, my lady.",,"of High Septon Maynard's 15,782 shits!",( roaring ),You conspired with Cersei Lannister
687,Logs burning.,( gasps ),"You there, why isn't there leather on these?",,Steps.,Go!,"and Joffrey Baratheon to betray our father, Ned Stark."
688,Keep looking.,( chatter ),Command suits you.,,That number was the steps.,Go now! Leave!,"Thanks to your treachery, he was imprisoned"
689,What do you see?,( horse neighing ),"The Northerners are all facing north,",,( giggles ),( muffled shouting ),and later executed on false charges of treason.
69,Proper wine for proper heroes!,Robert was neither mad nor cruel.,General rule of thumb--,all the castles in the Seven Kingdoms,"Together, we will leave the world a better place than we found it.",Do you know what she did to me?,"kill the silver-haired bitch first,"
690,Ice.,- Man: Ready? - Man ♪2: Ready?,worried about the threat from beyond the Wall.,,Are you sure you want to do this?,( Drogon roars ),- Do you deny it? - I deny it!
691,A wall of ice.,Man ♪2: Ready!,So they should be.,,You always wanted to be a maester.,( roaring ),None of you were there to see what happened.
692,The Wall.,Come on.,I know Cersei better than anyone here.,,I'm tired of reading about the achievements of better men.,( shouting ),None of you knows the truth.
693,What else?,- Man: Yah! - Man ♪2: Come on!,If you turn your back on her--,,- ( whispering ) - ( horse whinnies ),( roaring ),You held a knife to his throat.
694,It's where the Wall meets the sea.,( nickering ),- You don't know Cersei better than anyone here. - I only meant to say--,,( dog barking ),( gasping ),"You said, ""I did warn you not the trust me."""
695,There's a castle there.,( blowing ),"That the woman who murdered my mother, father, and brother is dangerous?",,( quiet chatter ),( grunting ),You told our mother this knife belonged to Tyrion Lannister.
696,There's a mountain.,( nickering ),Thank you for your wise counsel.,,"Wolkan: I found it, my lord.",( panting ),But that was another one of your lies.
697,Looks like an arrowhead.,( nickering ),One of two things will happen--,,"It, uh, took some searching.",Uncle Benjen!,It was yours.
698,The dead are marching past.,( twigs snap ),"either the dead will defeat the living,",,Maester Luwin's archives are very thorough.,How?,"Lady Sansa, I have known you since you were a girl."
699,Thousands of them.,( rustling ),in which case...,,You're sure this is the only copy in Winterfell?,- You ride for the pass. - Come with me.,- I've protected you. - Protected me?
7,The true enemy won't wait out the storm.,under orders from the Lord Commander.,Please try not to scream.,I will allow you to mine the dragonglass,and the Wall hasn't been properly manned in centuries.,"Tell him to come to King's Landing,",It's not safe leaving you with Littlefinger.
70,( all cheering ),He simply had no interest in being king.,Stark men don't fare well when they travel south.,"will be yours to choose from,",Or refuse...,"She strapped me down on a bed,","then our brother, then the bastard who calls himself king."
700,"Do you believe me now, Clegane?",( footsteps approaching ),"all our troubles come to an end,",,"Uh, yes, my lord.",There's no time.,By selling me to the Boltons?
701,Do you believe we're here for a reason?,( rustling continues ),or life will win out.,,Lady Stark thanks you for your service.,- Go! - ( horse neighs ),"If we could speak alone,"
702,( shovel scraping ),- ( horse neighing ) - ( wolves snarling ),And what then?,,"( door closes, lock clicks )",( wights snarling ),I can explain everything.
703,( man grunting ),( horse neighs ),Don't fight in the North or the South.,,Tormund: Isn't it your job to talk him out,( snarling ),"Sometimes when I'm trying to understand a person's motives,"
704,- ( grunting ) - ( shovel scraping ),( wolves snarling ),"Fight every battle, everywhere, always, in your mind.",,of stupid fucking ideas like this?,"We'll meet again, Clegane.",I play a little game.
705,"What the hell are you doing, Clegane?",( barks ),"Everyone is your enemy,",,I've been failing at that job of late.,Fucking hope not.,I assume the worst.
706,Burying the dead.,( bellows ),everyone is your friend...,,How many queens are there now?,( Drogon screeching ),What's the worst reason you have
707,You knew these people.,( snarling ),every possible series of events is happening all at once.,,Two.,( screeching ),for turning me against my sister?
708,Not really.,( snarling ),Live that way and nothing will surprise you.,,And you need to convince the one with the dragons,( wind howling ),"That's what you do, isn't it?"
709,We ask the Father to judge us with mercy.,Nymeria?,Everything that happens will be something,,or the one who fucks her brother?,"It's time to go, Your Grace.",That's what you've always done--
71,Stand together!,So you took it upon yourself to find a better one.,True...,with no one left to take them away from you.,and die.,- she stripped me naked... - Sounds all right so far.,The rest of them you can kill in any order you see fit.
710,We ask the Mother to...,( growling ),that you've seen before.,,( chuckles ),A bit longer.,"turn family against family,"
711,"Fuck it, I don't remember the rest.","Nymeria, it's me, Arya.","Lady Sansa, at the gate.",,Both.,( screeching ),turn sister against sister.
712,I'm sorry you're dead.,( grunts ),( people murmuring ),,How many men did you bring?,( horn blaring ),"That's what you did to our mother and Aunt Lysa,"
713,You deserved better.,"I'm heading north, girl.","Hello, Sansa.",,Jon: Not enough.,Man: Rider approaching!,and that's what you tried to do to us.
714,Both of you.,Back to Winterfell. I'm finally going home.,( sobbing ),,The big woman?,Man: Open the gate!,"Sansa, please."
715,"( horse trotting, nickers )",Come with me.,I wish Jon were here.,,We were hoping some of your men could help.,( gate rumbling ),"I'm a slow learner, it's true."
716,( dog barking ),Come with me.,"Yes, I need to speak to him.",,- Hmm. - I'll be staying behind.,( seagulls screeching ),But I learn.
717,( chatter ),That's not you.,You're Father's last living trueborn son.,,"I'm a liability out there, as you well know.",( Davos grunts ),Give me a chance to defend myself.
718,( Little Sam coos ),( men shouting ),You're Lord of Winterfell now.,,You are.,( grunts ),I deserve that.
719,Gilly: Hey.,Nym: You can't have them all. It's not fair.,I can never be Lord of Winterfell.,,You really want to go out there? Again?,Not what you're looking for?,I am Lord Protector of the Vale
72,All: Stand together!,"Your Grace,",but I'm not a Stark.,"Yes, I'm sure Queen Cersei's reign",( snarls ),"- ...and put leeches on me. - Was she naked, too?","Come, Ser Gregor."
720,( Gilly laughs ),Obara: I'm oldest.,I can never be lord of anything.,,You're not the only ones.,"I have hundreds of men here at Winterfell, all loyal to me.",and I command you to escort me safely back to the Eyrie.
721,( Little Sam grunts ),Mama will want Cersei for herself.,I'm the Three-Eyed Raven.,,My scouts found them a mile south of the Wall.,They're not here now.,I think not.
722,Mom.,She's not my mama.,I don't know what that means.,,Said they were on their way here.,What are these?,"Sansa, I beg you!"
723,"You should really sleep, Sam.",You can have Cersei.,It's difficult to explain.,,You're the Hound.,My faces.,I loved your mother since the time I was a boy.
724,The dead don't.,I want the Mountain.,"Try. Please, for me.",,I saw you once at Winterfell.,Where did you get them?,"And yet, you betrayed her."
725,( Little Sam babbling ),The Mountain killed Father.,It means I can see everything.,,"They want to go beyond the Wall, too.","In Braavos, while I was training to be a Faceless Man.",I loved you.
726,"""Legends of the Long Night.""",He'll crush you with one hand.,Everything that's ever happened to everyone.,,"We don't want to go beyond the Wall, we have to.",What does that mean?,More than anyone.
727,The Targaryens used dragonglass to decorate their weapons,Father got careless. That's what Mama says.,Everything that's happening right now.,,Our Lord told us that the Great War is coming--,"Back in Braavos,","And yet, you betrayed me."
728,without even knowing what the First Men used it for.,Will you shut up about Mama?,"It's all pieces now, fragments.",,Gendry: Don't trust him.,"before I got my first face,","When you brought me back to Winterfell,"
729,( sighs ),"""Mama, Mama, Mama.""",I need to learn to see better.,,Don't trust any of them.,there was a game I used to play.,"you told me there's no justice in the world,"
73,Not you.,"when I was ready to drink myself into a small coffin,",( screeching ),will be quiet and peaceable.,( roaring ),She needed your blood.,It's time for us to meet our guests.
730,What is it?,Maybe I'll kill you both before we take King's Landing.,"When the Long Night comes again,",,They're the Brotherhood.,The Game of Faces.,not unless we make it.
731,It's a map of Dragonstone.,And then I won't have to share.,I need to be ready.,,And the last thing their lord told them to do,It's simple--,"Thank you for all your many lessons, Lord Baelish."
732,The Targaryens built their first stronghold there,"Both: ""Mama!""",How do you know all this?,,was sell me to a red witch to be murdered.,"I ask you a question about yourself,",I will never forget them.
733,when they invaded Westeros.,How can you drink this piss?,The Three-Eyed Raven taught me.,,Jorah: Thoros?,and you try to make lies sound like the truth.,Sansa!
734,That's dragonglass?,"When we reach Sunspear,",I thought you were the Three-Eyed Raven.,,I hardly recognized you.,"If you fool me, you win.",( gasps )
735,A mountain of it.,I'll treat you to a Dornish red.,I told you it's difficult to explain.,,Ser Jorah Mormont.,"If I catch a lie, you lose.",I...
736,Beneath the ground.,The best in the world.,( sighs ),,They won't give me anything to drink down here.,Let's play.,Jaime: Our men in King's Landing
737,"Stannis told me, but I didn't think...",Have you ever been to Dorne?,Bran--,,I haven't been feeling like myself.,I don't want to play.,will march north in three days' time.
738,This is important. Jon needs to know.,A few times.,I'm sorry for all that's happened to you.,,Tormund: You're a fucking Mormont?,How do you feel about Jon being king?,Man: It'll take us a fortnight
739,( man coughing ),Never stayed long.,I'm sorry it had to happen here in our home.,,Like the last Lord Commander?,Is there someone else you think should rule the North instead of him?,just to gather supplies for the train.
74,I'm not wasting good wine on a damn woman.,Lord Varys told me about a queen in the east who--,( panting ),"Ah, stranger things have happened.","Step forward, my lord.","Yes, thank you. I know that.",( donkey braying )
740,"( man vomiting, coughing )",A boy in every port?,It was so beautiful that night.,,He was my father.,"Those faces, what are they?",Jaime: We don't have a fortnight.
741,( gasps ),"A boy, a girl.","Snow falling, just like now.",,He hunted us like animals.,You want to do the asking?,"If the North falls, we fall. Three days."
742,( panting ),Depends on the port.,And you were so beautiful...,,"You returned the favor, as I recall.",Are you sure?,The remaining forces in the Westerlands
743,Jorah: Has she come yet?,Could we get some more?,in your white wedding dress.,,( growls ),The Game of Faces didn't turn out so well,will take the river road east.
744,Who?,I thought it wasn't for you.,"I have to go back inside, Bran.",,Here we all are,for the last person who asked me questions.,We'll meet at Lord Harroway's Town
745,The Dragon Queen.,I'm developing a taste for it.,I'll stay a bit longer.,,at the edge of the world,Tell me what they are.,and march together to Winterfell.
746,Daenerys Stormborn.,- He's not your servant. - It's fine.,( man coughing in distance ),,"at the same moment,",We both wanted to be other people when we were younger.,Ser Jaime.
747,Haven't heard anything.,"So, you're going to be Queen of the Iron Islands.",Hmm.,,heading in the same direction for the same reason.,"You wanted to be a queen,",Your Grace.
748,( seagulls screeching ),Once I kill my uncle.,Hmm.,,Our reasons aren't your reasons.,"to sit next to a handsome, young king on the Iron Throne.","My lords, I need a moment with my brother."
749,( dragons screeching ),"And what will you be, handsome?",Does it hurt?,,It doesn't matter what we think our reasons are.,"I wanted to be a knight,",Men: Your Grace.
75,Maybe I'm not the most pleasant man.,"Before I came to power, you favored my brother.",I'd say you get used to them...,Like what?,You will not kneel?,- Could have been worse. - She wanted to kill me!,Missandei: Why did they build it?
750,( screeching ),Whatever my queen commands.,A bit. Less than before.,,There's a greater purpose at work.,to pick up a sword like Father and go off to battle.,- What are you doing? - Preparing the expedition north.
751,Shall we begin?,"He'll be my advisor, my protector.",The infection no longer appears to be active.,,"And we serve it together,","Neither of us got to be that other person, did we?",Expedition north?
752,( music playing ),"Oh, I see.",( sighs ),,whether we know it or not.,The world doesn't just let girls decide what they're going to be.,I always knew you were the stupidest Lannister.
753,( choir singing ),Your protector.,Unusual.,,"We may take the steps, but the Lord of Light--",But I can now.,"The Starks and Targaryens have united against us,"
76,I'll admit it. But I'm proud of you lot.,"All your spies, your little birds,",but you never really do.,"The granaries are being emptied and loaded into wagons, my lord.",I already have a queen.,"- They would have killed me if wasn't for Davos. - But they didn't, did they?",Dragons don't understand the difference
77,"You're my family, the men who helped me","did they tell you Viserys was cruel, stupid, and weak?","Come, their mother is waiting for you.",- The current harvest? - We have teams of men collecting it,Tyrion: My sister.,"So, what you whinging about?",between what is theirs and what isn't.
78,slaughter the Starks at the Red Wedding.,Would those qualities have made for a good king in your learned opinion?,I wondered why you weren't there to meet our guests.,from all the farms in the Reach.,She wasn't your queen,I'm not whinging.,"Land, livestock, children..."
79,"- ( cheering ) - Walder: Yes, yes.","Until your marriage to Khal Drogo, Your Grace,",You begged us to summon the King in the North.,"Ser Bronn, will you accompany the Tarlys","until recently, though, was she?",Your lips are moving and you're complaining about something.,Letting them roam free around a city was a problem.
8,(MEN CHEERING),RANDYLL: You ought to be a Maester.,(GRUNTING),and forge weapons from it.,"Last time we saw The Night King,",and swear his fealty to Joffrey.,LITTLEFINGER: She's your sister.
80,Cheer.,"I knew nothing about you, save your existence",Don't you want to see him again?,and help them accelerate this process?,When she murdered your rightful queen,That's whinging.,I imagine it was a sad joke at the end.
81,"Brave men, all of you.",and that you were said to be beautiful.,I've done my part.,I'm not much for shoveling wheat.,and destroyed House Tyrell for all time.,This one's been killed six times.,An entire arena for a few sickly creatures smaller than dogs.
82,Butchered a woman pregnant with her babe.,So you and your friends traded me like a prized horse to the Dothraki.,I've brought ice and fire together.,"No, but motivating reluctant farmers to hand over their harvest--",So it appears your allegiances are somewhat flexible.,You don't hear him bitching about it.,"But in the beginning, when it was home to Balerion the Dread,"
83,Cut the throat of a mother of five.,Which you turned to your advantage.,Strange.,I bet you're going to have a real talent for that.,There are no easy choices in war.,Good lad.,it must have been the most dangerous place in the world.
84,Slaughtered your guests after inviting them,Who gave the order to kill me?,"You spoke so highly of Jon Snow,",My lord.,"Say what you will about your sister,",Jon: The first time I went north of the Wall was with your father.,Maybe it still is.
85,into your home.,King Robert.,"but when he arrives, you hide on a cliff.",My lord.,she was born in Westeros.,He was a good man.,"Welcome, my lords."
86,But you didn't slaughter every one of the Starks.,Who hired the assassins?,I didn't take you for a bashful girl.,My lord.,She's lived here all her life.,He deserved a better son.,Your friends arrived before you did.
87,"- ( men groaning ) - No, no, that was your mistake.",Who sent word to Essos to murder Daenerys Targaryen?,My time whispering in the ears of kings has come to an end.,"Tycho: I must say, I don't think the Iron Bank","You, on the other hand,",Were you with him at the end?,I've been sent to escort you all to the meeting.
88,"You should have ripped them all out, root and stem.","- Your Grace, I did what had to be done to-- - To keep yourself alive.","Oh, I doubt that.",has ever had a debt of this magnitude repaid in a single installment.,murdered your own father,I was a prisoner of the wildlings.,A pleasant surprise in an unpleasant situation.
89,"( all coughing, choking )",Lord Varys has proven himself a loyal servant.,"Give us common folk one taste of power,","I always considered your father a very effective and efficient man,",and chose to support a foreign invader.,But we avenged him.,"I never thought I'd see you again, my lord."
9,MEN: (CHANTING) The King in the North! The King in the North!,Spending your life reading about the achievements,MEERA REED: This is Brandon Stark.,Thank you.,it was at Hardhome.,You're sure this is the only copy in Winterfell?,Arya would never betray her family.
90,Leave one wolf alive,Proven himself loyal? Quite the opposite.,we're like the lion who tasted man.,but you appear to be redefining those terms entirely.,One with no ties to this land...,I want you to know that.,"Supporting the enemy, no less."
91,and the sheep are never safe.,"If he dislikes one monarch, he conspires to crown the next one.",Nothing is ever so sweet again.,"You're too kind, my lord.",with an army of savages at her back.,Every mutineer found justice.,- Hard to blame you. - Cersei will anyway.
92,"( all gasping, groaning )",What kind of a servant is that?,Neither of us is common folk anymore.,"I am neither kind nor a lord, Your Grace.",You will not trade your honor for your life.,Can't think of a worse way for him to go.,I'm glad you're alive.
93,When people ask you what happened here...,The kind the realm needs.,I did not part on good terms,I am merely an instrument of the institution I represent.,I respect that.,The Night's Watch was his life.,Bronn: Come on!
94,tell them the North remembers.,Incompetence should not be rewarded with blind loyalty.,with the King in the North or his advisor.,"Its well-being is a matter of arithmetic, not sentiment.","Perhaps he could take the Black, Your Grace.",He would have died to protect every one of those men.,You can suck his magic cock later.
95,Tell them winter came for House Frey.,"As long as I have my eyes, I'll use them.",Why?,And the current arithmetic is outstanding.,"Whatever else he is, he is a true soldier.",And they butchered him.,What's in there?
96,( theme music playing ),I wasn't born into a great house.,Because of mistakes I made.,"- Uh, the gold... - Is on its way.",He'd be invaluable at the Wall.,I hate that he died that way.,Fuck off.
97,( wind howling ),I came from nothing.,Terrible mistakes.,My brother is supervising its transportation himself.,You cannot send me to the Wall.,My father was the most honorable man I ever met.,I thought you were dead.
98,( gate opens ),I was sold as a slave and carved up as an offering.,I would only be a distraction if I stayed.,Some at the Iron Bank will be disappointed.,You are not my queen.,He was good all the way through.,Not yet.
99,You wildlings?,"When I was a child, I lived in alleys, gutters, abandoned houses.","- So, where will you go? - Volantis.",They've grown rather fond of your interest payments.,"You will have to kill me, too.",And he died on the executioner's block.,You came pretty close.
754,,"So, if someone gets too close to you...",Unlikely.,,"For fuck's sake, will you shut your hole?","With the faces, I can choose.",and you want to fight alongside them?
755,,He might have to intervene.,One could almost be forgiven,,Are we coming with you or not?,I can become someone else.,Are you a traitor or an idiot?
756,,To hold that person back.,for thinking that the entire upper layer of diseased skin was debrided,,Don't you want to know what we're doing?,"Speak in their voice,",You pledged our forces to fight our common enemy--
757,,Until they've made their intentions known.,and the underlying region treated with some sort of unguent.,,"Is it worse than sitting in a freezing cell, waiting to die?",live in their skin.,I'll say whatever I need to say
758,,"Why are you standing all the way over there, then?",Don't know anything about that.,,He's right.,I could even become you.,to ensure the survival of our house.
759,,A foreign invasion is underway.,I just started feeling better.,,We're all on the same side.,I wonder what it would feel like,You expect me to trust the man who murdered our father?
760,,Leave him be.,I assumed it was the rest that did it.,,How can we be?,to wear those pretty dresses...,"You expect me to command our troops to fight beside foreign scum,"
761,,Seems like you don't need a protector.,And the climate.,,We're all breathing.,to be the Lady of Winterfell.,to fight for the Dragon Queen?
762,,- ( crashing ) - ( men shouting ),The climate.,,( gate rumbling ),All I'd need to find out...,You saw it with your own eyes.
763,,Stay here.,"You're free to go, ser.",,( wind howling ),is your face.,You saw a dead man trying to kill us.
764,,- ( all shouting ) - Man: We're under attack!,"This chamber is needed for the infectious,",,( music playing ),( gasps ),I saw it burn.
765,,Euron.,which you are no longer.,,,I'm sorry.,"If dragons can't stop them,"
766,,( men shouting ),"Tarly, I'd like to speak with you in my study this evening.",,,I'm so sorry.,"if Dothraki and Unsullied and Northmen can't stop them,"
767,,( grunts ),How bad is it?,,,I wish I could take it back.,how will our armies make a difference?
768,,( yelling ),Suppose I'll find out this evening.,,,I wish we'd never gone.,"This isn't about noble houses,"
769,,( screams ),- Where will you go? - ( grunts ),,,I don't.,this is about the living and the dead!
770,,( grunts ),I surrendered to this sickness the moment I first saw it.,,,"If we hadn't gone, I wouldn't have seen.",And I intend to stay amongst the living.
771,,( all shouting ),I knew it would kill me,,,You have to see it to know.,Let the Stark boy and his new queen defend the North.
772,,( all grunting ),or I'd kill myself before it could.,,,Now I know.,We stay here where we've always been.
773,,You mother's below deck. Keep her safe.,Daenerys Stormborn convinced me otherwise.,,,The dragons are my children.,I made a promise.
774,,- ( explosions ) - ( footsteps approach ),The only place for me is back with her.,,,They're the only children I'll ever have.,Our child will rule Westeros.
775,,( exhales ),I owe her my life.,,,Do you understand?,Our child will never be born if the dead come south.
776,,( grunts ),Her and you.,,,We are going to destroy the Night King and his army.,The monsters are real.
777,,( grunts ),( chuckles ),,,And we'll do it together.,"The white walkers,"
778,,"( men shouting, screaming )",Your father saved me more than once.,,,You have my word.,"the dragons, the Dothraki screamers--"
779,,( screaming ),It's the least I could do.,,,"Thank you, Dany.","all the frightening stories we heard when we were young, they're all real."
780,,( all shouting ),Perhaps our paths will cross again.,,,"""Dany""?",So be it.
781,,( grunts ),I hope they do.,,,( chuckles ),Let the monsters kill each other.
782,,Aah!,- Ebrose: You treated him? - Yes.,,,Who was the last person who called me that?,"And while they battle in the North,"
783,,( grunts ),Who told you to treat him?,,,I'm not sure. Was it my brother?,we take back the lands that belong to us.
784,,( roars ),No one.,,,"Mm, not the company you want to keep.",- And then what? - And then we rule.
785,,Yah!,"Who forbade you, or anyone, to attempt to treat him?",,,All right.,"When the fighting in the North is over, someone wins."
786,,( grunting ),I seem to remember you.,,,"Not ""Dany.""","You understand that, don't you?"
787,,Aah!,"- But you treated him anyway? - I did, yes.",,,"How about ""my queen""?","If the dead win, they march south and kill us all."
788,,( groans ),"I forbade it because it is dangerous and rarely successful,",,,"I'd, uh, bend the knee, but...","If the living win, and we've betrayed them,"
789,,( shouting ),especially on someone of that age.,,,What about those who swore allegiance to you?,they march south and kill us all!
790,,( screams ),You could have infected yourself and others.,,,They'll all come to see you for what you are.,The Targaryens and the Starks already want to kill us all.
791,,Yah!,You could have devastated the entire Citadel.,,,I hope I deserve it.,Most of them will die in the North.
792,,Yah!,But you didn't.,,,You do.,I faced them in the field.
793,,- ( choking ) - ( leather creaking ),"It's a meticulous, difficult procedure.",,,You should get some rest.,We can't beat them. We can't beat their dragons.
794,,( grunting ),Many maesters whose chains are heavy with healing links,,,( sighs ),How many dragons did you see at the pit?
795,,( screams ),have attempted it and failed.,,,( wind howling ),- Two. - What happened to the third?
796,,Kill us.,Yet you succeeded.,,,( music playing ),"For all we know, it's guarding her fleet!"
797,,Get it over with.,How?,,,,She came here with her dragons and her Dothraki and her Unsullied.
798,,( both grunting ),I read the books and followed the instructions.,,,,She came here to show us all her power.
799,,- ( screams ) - ( grunts ),That man is alive because of you.,,,,"No, something happened. The dragons are vulnerable."
