,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
295,a Dothraki horde and Unsullied slave soldiers?,the varying rates of greyscale progression,You must forgive my manners.,"Your Grace, there's still no word from the Unsullied.","I found the traitors, but I wasn't the one burning them alive.",I'm not fighting so some man or woman I barely know,Fuck loyalty?
296,If they think Daenerys will win.,in infants and fully grown men?,You'll both be tired after your long journey.,Soon.,I was only a purveyor of information.,can sit on a throne made of swords.,This goes beyond houses and honor and oaths.
297,No one wants to fight on the losing side.,No.,We'll have baths drawn for you and supper sent to your rooms.,He will come back to you.,It's what I told myself when I watched them beg for mercy--,"So, what are you fighting for?",Talk to the queen.
298,"Right now, we look like the losing side.",Ebrose: Maester Cressen discovered,( speaking Dothraki ),He'd better.,I'm not the one doing it.,Life.,And tell her what?
299,I'm the Queen of the Seven Kingdoms.,Shireen Baratheon's affliction immediately.,Am I your prisoner?,What happened?,When the pitch of their screams rose higher--,Death is the enemy.,Davos: I wish you hadn't done that.
3,- (EXPLOSIONS) - (MAN YELLING),"We must be allies now, if we wish to survive.",Myrcella?,To whom?,THE HOUND: A wall of ice.,to prove her loyalty.,(CACKLES MANICALLY)
30,(PANTING),All the dogs in King's Landing,You were pissing off the edge if I remember right.,How will it happen?,( grunts ),We're all breathin'.,Get 500 more.
300,"Three kingdoms, at best.",This is quite advanced.,Not yet.,Many things.,I'm not the one doing it.,The first enemy and the last.,"I'm grateful for your loyalty,"
301,I'm not sure you understand how much danger we're in.,"And beyond our skills, ser.",Our ironborn and Dornish allies,Many things?,When their hair caught fire,But we all die.,but my dragon died so that we could be here.
302,I understand we're in a war for survival.,"Were you a commoner, I'd have you shipped to Valyria at once",were attacked en route to Dorne.,- ( sighs ) - Jon: Your Grace.,and the smell of their burning flesh filled the throne room--,The enemy always wins.,"If it's all for nothing,"
303,I understand whoever loses dies.,to live out your life with the stone men.,"- And? - Two or three ships escaped,",( speaks Dothraki ),I'm not the one doing it.,And we still need to fight him.,then he died for nothing.
304,I understand whoever wins could launch a dynasty,"As an anointed knight, I'll allow you one more day.","the rest, sunk or captured.",( seagulls screeching ),( sighs ),That's all I know.,I know!
305,that lasts a thousand years.,How you choose to spend that time is up to you.,"Ellaria and the Sand Snakes, dead or captured.",I wanted you to see it,Daenerys is not her father.,"You and I won't find much joy while we're here,",I'm pleased you bent the knee to our queen.
306,A dynasty for whom?,"Come, Samwell.","The Greyjoys, dead or captured.",before we start hacking it to bits.,And she never will be,but we can keep others alive.,"I would have advised it, had you asked."
307,Our children are dead.,"Should we send word to your family, Ser...?",All of them?,"Well, this is it. All we'll ever need.",with the right counsel.,We can defend those who can't defend themselves.,But have you ever considered
308,We're the last of us.,Jorah.,( men shouting ),"There is something else I want to show you, Your Grace.",You need to find a way to make her listen.,"""I am the shield that guards the realms of men.""",learning how to lie every now and then?
309,"A dynasty for us, then.",Jorah Mormont.,- Pull! - Heave!,The children of the forest made these.,- Who's that for? - Jon Snow.,Maybe we don't need to understand any more than that.,Just a bit?
31,SAMWELL: ...when they come.,howled through the night.,Picked up some scars along the road.,Will there be pain?,( gasping ),( theme music playing ),"Yes, my lord."
310,We never talked about Tommen.,Mormont?,Pull!,When?,Did you read it?,Maybe that's enough.,I'm not going to swear an oath I can't uphold.
311,There's nothing to say.,There's no need.,( men grunt ),A very long time ago.,It's a sealed scroll for the King in the North.,Aye.,"Talk about my father if you want,"
312,Our baby boy killed himself.,I've been dead to them for years.,( grunts ),"They were right here,",What's it say?,Maybe that's enough.,tell me that's the attitude that got him killed.
313,He betrayed me.,"Ebrose: Come, Samwell!",Your sister's dead?,standing where we're standing.,Nothing good.,That's what I saw in the fire.,"But when enough people make false promises,"
314,He betrayed us both.,"Qyburn: Have you ever been down here, Your Grace?",Euron has her.,Before there were Targaryens or Starks or Lannisters.,I thought Arya was dead.,A mountain like an arrowhead.,words stop meaning anything.
315,Should we spend our days mourning the dead--,"No, I can't say I have.",You saw him take her?,Maybe even before there were men.,I thought Bran was dead.,Thoros: Are you sure?,"Then there are no more answers, only better and better lies."
316,"mother, father, and all our children?",I haven't seen these since Robert had them removed from the throne room.,- But you got away? - I couldn't save her.,No.,I'm happy for you.,We're getting close.,And lies won't help us in this fight.
317,- Cersei-- - I loved them. I did.,Curious that King Robert did not have them destroyed.,I tried.,"They were here together, the children and the First Men.",You don't look happy.,Daenerys: Do you know what I like about you?,Tyrion: That is indeed a problem.
318,But they're ashes now and we're still flesh and blood.,They were his trophies.,You wouldn't be here if you tried.,Doing what? Fighting each other?,Bran saw the Night King and his army,- I honestly don't. - You're not a hero.,The more immediate problem is that we're fucked.
319,"We're the last Lannisters, the last ones who count.",He couldn't keep them around.,"Man: Come, men!",They fought together against their common enemy.,marching towards Eastwatch.,Oh.,Any ideas as to how we might
32,(ICE CRACKLING),I wish I could remember it.,"It's been a long road, but we're both still here.","JAIME: No, I'll make sure of that.","( coughing, panting )",( wind howling ),"I still enjoy it when they call me ""my lord."""
320,Even Lannisters can't survive without allies.,They would have made him look small.,Sails up!,"Despite their differences, despite their suspicions.",If they make it past the Wall...,"Well, I've been heroic on occasion.",change that state of affairs?
321,Where are our allies now?,Sometimes he would come down here and look at them.,( crowd cheering ),Together.,"The Wall has kept them out for thousands of years, presumably.",I once charged through the Mud Gate of King's Landing and--,Only one.
322,You saw what happened to Walder Frey and his family.,I believe he brought his whores on occasion.,Woman: Murderer!,We need to do the same if we're going to survive.,I need to go home.,I don't want you to be a hero.,"Everyone stays here,"
323,I heard.,Balerion the Dread.,Man: Whores!,Because the enemy is real.,You said you don't have enough men.,Heroes do stupid things and they die.,and I go and talk to my sister.
324,- How could we ever trust a man like that? - We couldn't.,The beast that Aegon rode across the sea.,- ( all shouting ) - Traitor!,It's always been real.,We'll fight with the men we have.,"Drogo, Jorah, Daario,",I didn't come all this way to have my Hand murdered.
325,"He was a useless, old coward,",His flames forged the Iron Throne,This is the life.,And you say you can't defeat them,Unless you'll join us.,even this... Jon Snow--,I don't want Cersei to murder me either.
326,but the Freys supported us.,and brought the Seven Kingdoms to heel.,"Look at them, cheering for a Greyjoy.",without my armies and my dragons?,And give the country to Cersei?,they all try to outdo each other.,I could have stayed in my cell and saved a great deal of trouble.
327,Now they're all dead.,Powerful...,( cheering ),"No, I don't think I can.","As soon as I march away, she marches in.","Who can do the stupidest, bravest thing.",Jon: I did this.
328,Whoever killed them is no friend of ours.,but not invincible.,- ( grunts ) - ( laughter ),I will fight for you.,Perhaps not.,"It's interesting, these heroes you name.",- I should go. - She'll definitely murder you.
329,We need allies.,"Apparently, one of Daenerys's dragons","I have to be honest,",I will fight for the North.,Cersei thinks the Army of the Dead is nothing but a story,"Drogo, Jorah, Daario,",I go see my sister alone.
33,(SNARLING),I always thought this would be a homecoming.,I'm Tyrion Lannister.,I'd hate to die like your son.,You could've killed me.,- You all right? - Mm.,The thrill will fade.
330,"Stronger, better allies.",was wounded by spears in the fighting pits of Meereen.,this is making me hard.,When you bend the knee.,made up by wet nurses to frighten children.,even this... Jon Snow.,Or we all go home
331,We can't win this war alone.,"And if they can be wounded,",Did you see Little Theon's face,My people...,What if we prove her wrong?,They all fell in love with you.,and we're right back where we started.
332,You think I listened to Father for 40 years and learned nothing?,they can be killed.,right before he jumped overboard?,won't accept a southern ruler.,I don't think she'll come see the dead at my invitation.,"- Jon Snow's not in love with me. - Oh, my mistake.",- You spoke with her? - At her until she kicked me out.
